,precision,recall,f1-score,support
ENFJ,1.0,1.0,1.0,0.0
ENFP,1.0,0.75,0.8571428571428571,4.0
ENTJ,1.0,0.0,0.0,1.0
ENTP,1.0,0.0,0.0,1.0
ESFJ,0.0,1.0,0.0,0.0
ESFP,1.0,1.0,1.0,0.0
ESTJ,1.0,1.0,1.0,0.0
ESTP,1.0,0.0,0.0,1.0
INFJ,0.2,0.3333333333333333,0.25,3.0
INFP,0.7142857142857143,0.625,0.6666666666666666,8.0
INTJ,1.0,0.5,0.6666666666666666,2.0
INTP,1.0,0.0,0.0,3.0
ISFJ,1.0,0.5,0.6666666666666666,2.0
ISFP,0.25,0.5,0.3333333333333333,2.0
ISTJ,1.0,1.0,1.0,0.0
ISTP,0.16666666666666666,1.0,0.2857142857142857,1.0
accuracy,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.4642857142857143
macro avg,0.7706845238095239,0.5755208333333333,0.48288690476190477,28.0
weighted avg,0.7493197278911566,0.4642857142857143,0.46896258503401356,28.0
