id,openness,conscientiousness,extraversion,agreeableness,neuroticism,big5Accuracy,extraverted,intuitive,thinking,judging,mbtiAccuracy,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,MBTI
1,76.67,58.33,58.33,65.83,48.33,6,2,69,58,37,7,1,4,4,3,6,6,4,5,7,2,INTP
2,67.5,77.5,50.0,73.33,70.0,7,17,55,53,54,6,2,1,5,6,6,6,5,2,3,5,INTJ
3,66.67,75.0,68.33,70.0,60.83,5,63,28,35,47,6,5,4,6,7,5,2,6,1,3,5,ESFP
4,54.17,70.0,54.17,73.33,62.5,5,33,45,58,67,6,3,3,6,2,2,3,5,2,7,7,ISTJ
5,78.33,41.67,72.5,80.83,74.17,5,65,69,14,22,6,7,3,4,6,7,3,7,5,5,5,ENFP
6,65.0,55.0,70.83,70.0,76.67,6,71,59,31,37,6,6,4,3,7,6,3,4,5,2,2,ENFP
7,76.67,72.5,75.0,84.17,62.5,6,83,63,24,43,5,6,1,4,3,4,2,7,5,2,1,ENFP
8,74.17,61.67,60.83,72.5,67.5,6,49,41,44,33,3,4,3,3,6,5,4,6,6,3,4,ISFP
9,62.5,72.5,60.0,54.17,60.0,6,35,56,79,60,5,4,5,6,6,3,4,2,4,6,4,INTJ
10,59.17,63.33,54.17,75.83,60.83,5,21,38,53,39,5,3,3,6,5,6,7,5,5,6,5,ISTP
11,56.67,64.17,30.0,80.0,73.33,5,7,28,42,43,6,1,5,1,3,3,7,4,4,2,2,ISFP
12,64.17,46.67,49.17,74.17,66.67,4,42,59,29,31,6,3,2,3,4,4,4,4,6,4,3,INFP
13,73.33,50.0,64.17,76.67,62.5,6,46,46,32,49,4,3,3,5,6,5,5,4,4,3,5,ISFP
14,51.67,42.5,59.17,77.5,65.0,6,33,27,36,56,4,2,1,5,2,2,6,7,2,5,6,ISFJ
15,65.0,72.5,76.67,74.17,65.0,6,75,42,39,78,6,5,3,4,5,5,4,4,2,4,3,ESFJ
16,74.17,80.83,75.83,65.0,40.83,5,57,45,53,63,5,4,2,4,5,7,4,6,1,7,3,ESTJ
17,66.67,73.33,60.83,68.33,58.33,5,24,51,67,44,5,4,3,6,2,7,5,5,5,6,5,INTP
18,71.67,68.33,78.33,77.5,59.17,5,78,44,32,54,6,7,5,3,2,6,1,7,2,4,1,ESFJ
19,90.0,62.5,87.5,73.33,70.83,5,82,56,36,46,6,7,5,4,6,7,2,5,7,2,3,ENFP
20,59.17,87.5,58.33,79.17,48.33,6,26,21,43,78,6,5,2,7,7,2,6,6,1,5,7,ISFJ
21,69.17,66.67,75.0,62.5,44.17,6,68,64,42,57,3,5,3,4,2,7,1,5,3,5,1,ENFJ
22,82.5,79.17,55.0,80.0,49.17,6,29,87,33,56,5,4,2,5,5,7,5,5,3,4,2,INFJ
23,56.67,56.67,70.0,65.0,64.17,5,51,44,29,29,3,5,5,5,5,4,4,5,5,5,4,ESFP
24,75.0,53.33,83.33,70.0,59.17,6,85,67,49,11,6,6,2,4,6,5,1,4,6,3,3,ENFP
25,55.83,60.0,65.0,55.0,67.5,5,25,49,39,49,2,4,3,4,7,4,7,7,3,3,6,ISFP
26,84.17,67.5,42.5,86.67,60.0,6,8,64,74,76,6,2,2,5,6,3,6,6,2,5,4,INTJ
27,64.17,66.67,58.33,72.5,65.83,5,33,56,39,35,5,4,2,4,6,5,6,6,6,4,3,INFP
28,74.17,65.0,59.17,69.17,63.33,5,37,72,42,39,5,2,1,4,3,6,6,4,5,3,3,INFP
29,75.0,55.83,43.33,57.5,46.67,6,43,84,40,61,6,2,1,5,5,7,6,7,5,5,1,INFJ
30,83.33,58.33,63.33,74.17,63.33,4,49,74,36,29,5,4,2,3,4,4,3,6,5,4,2,INFP
31,77.5,80.0,50.0,72.5,40.0,7,18,52,40,54,5,3,1,5,2,5,5,5,3,6,3,INFJ
32,75.0,70.83,52.5,86.67,73.33,7,19,39,18,64,6,3,1,5,7,6,7,7,3,5,2,ISFJ
33,75.0,91.67,45.0,69.17,67.5,7,8,77,42,64,5,2,5,7,5,5,7,3,1,5,2,INFJ
